generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.032,0,0.005,0
10000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.221179,-0.0233476,0.00827941,0
20000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.284218,-0.0364626,0.00166948,0
20000,Xenochrophis_cerasogaster,NA,38.2818,0.438767,0.0402146,0.521181,0
20000,Thamnophis_scalaris_1,Liodytes_alleni,16.0566,0.46253,-0.0427321,0.0413294,0
30000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.199679,-0.0221282,0.00372947,0
30000,Thamnophis_scalaris_1,Liodytes_alleni,26.5572,0.314302,-0.031816,0.0426862,0
40000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.357688,-0.0414898,0.00941709,0
40000,Thamnophis_scalaris_1,Thamnophis_sauritus,30.3765,0.602022,-0.0309382,0.117634,0
50000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.276369,-0.0315685,0.00165017,0
50000,Thamnophis_scalaris_1,Thamnophis_sauritus,30.6104,0.453801,-0.0592767,0.0687936,0
50000,Amphiesmoides_ornaticeps,NA,7.47325,0.101734,-0.03676,0.220684,0
60000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.173463,-0.0199556,0.00364488,0
60000,Rhabdophis_conspicillatus,NA,37.0464,0.0444379,-0.0205202,0.252734,0
60000,Thamnophis_scalaris_1,Liodytes_alleni,22.5085,0.25691,0.00296406,0.0416288,0
60000,Amphiesmoides_ornaticeps,NA,0.526399,0.110519,-0.0944555,0.103898,0
70000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.320421,-0.0411452,0.00897142,0
70000,Hebius_bitaeniatum_1,Hebius_venningi_3,24.3547,0.180033,-0.0161775,0.0442517,0
70000,Thamnophis_scalaris_1,Storeria_dekayi,27.8305,0.347794,-0.063236,0.0247795,0
80000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.228819,-0.0388866,0.00424113,0
80000,Rhabdophis_leonardi,Rhabdophis_swinhonis_1,27.122,0.527603,-0.0400243,0.297744,0
80000,Hebius_bitaeniatum_1,Hebius_leucomystax,23.3233,0.581989,-0.0914327,0.119157,0
80000,Thamnophis_scalaris_1,Liodytes_alleni,23.3444,0.626286,-0.0431619,0.152598,0
80000,Amphiesmoides_ornaticeps,NA,37.7797,0.0291351,0.0181842,4.40917,0
90000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.310808,-0.041314,0.0213774,0
90000,Hebius_bitaeniatum_1,Hebius_venningi_3,24.8793,0.294989,-0.032408,0.00330202,0
90000,Thamnophis_scalaris_1,Liodytes_alleni,25.5589,0.398668,-0.0577527,0.00134416,0
90000,Opisthotropis_guangxiensis,NA,33.028,0.0870456,0.000167487,0.532054,0
90000,Opisthotropis_guangxiensis,NA,36.6629,1.24835,-0.011741,0.856936,0
90000,Amphiesmoides_ornaticeps,NA,1.0103,0.279056,-0.0328982,0.281364,0
100000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.0589435,-0.00563059,0.100079,0
100000,Thamnophis_scalaris_1,Storeria_dekayi,27.3688,0.459407,-0.0585962,0.0499258,0
100000,Rhabdophis_leonardi,Thamnophis_scalaris_1,1.91014,0.29439,-0.0421034,0.000714285,0
110000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.291754,-0.0363704,0.00964976,0
110000,Thamnophis_scalaris_1,Storeria_dekayi,27.4446,0.334609,-0.0123277,0.028637,0
110000,Amphiesmoides_ornaticeps,NA,11.329,0.0172244,-0.00352628,0.340602,0
120000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.269642,-0.0463692,0.00628794,0
120000,Hebius_bitaeniatum_1,Hebius_venningi_3,25.0725,0.293598,-0.0255748,0.0258236,0
120000,Thamnophis_scalaris_1,Liodytes_alleni,22.5105,0.161012,0.0276323,0.0489848,0
120000,Amphiesmoides_ornaticeps,NA,17.8271,0.0598533,-0.00682197,0.344975,0
130000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.224751,-0.033973,0.00323984,0
130000,Hebius_bitaeniatum_1,Hebius_venningi_3,24.5702,0.369692,-0.0731212,0.0721335,0
130000,Thamnophis_scalaris_1,Liodytes_alleni,25.9124,0.364116,-0.0511587,0.0449164,0
140000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.202231,0.0179219,0.257909,0
140000,Hebius_bitaeniatum_1,Hebius_leucomystax,23.5691,0.258545,-0.0562543,0.0326887,0
140000,Thamnophis_scalaris_1,Nerodia_paucimaculata,28.8451,0.357239,-0.030016,0.0124447,0
140000,Rhabdophis_leonardi,Thamnophis_scalaris_1,4.64044,0.295719,-0.0486981,0.0145496,0
150000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.214895,-0.0317638,0.00572097,0
150000,Hebius_bitaeniatum_1,Hebius_leucomystax,21.1457,0.534177,-0.0576503,0.0749336,0
150000,Thamnophis_scalaris_1,Liodytes_alleni,23.7536,0.279986,-0.0220883,0.011694,0
160000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.445104,-0.0279305,0.333998,0
160000,Hebius_bitaeniatum_1,Hebius_venningi_3,24.4779,0.319169,-0.0645318,0.00184391,0
160000,Thamnophis_scalaris_1,Storeria_dekayi,27.8214,0.363978,-0.0612246,0.0259045,0
160000,Rhabdophis_leonardi,Thamnophis_scalaris_1,0.00204717,0.183497,-0.028876,0.00636657,0
170000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.271625,-0.0408129,0.0119453,0
170000,Rhabdophis_rhodomelas,NA,32.7421,0.280964,-0.0258379,0.773902,0
170000,Tropidonophis_dolasii,NA,33.7942,0.10976,0.00723042,0.228188,0
170000,Hebius_bitaeniatum_1,Hebius_venningi_3,25.7001,0.484125,-0.100647,0.00262943,0
170000,Thamnophis_scalaris_1,Liodytes_alleni,22.2635,0.342704,-0.0230527,0.00138835,0
180000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.311195,-0.0507863,0.00084622,0
180000,Hebius_bitaeniatum_1,Hebius_andreae,19.9054,0.397928,-0.059135,0.0282442,0
180000,Thamnophis_scalaris_1,Nerodia_paucimaculata,29.1187,0.358598,-0.0532587,0.0292179,0
190000,Rhabdophis_leonardi,Amphiesmoides_ornaticeps,0,0.237207,-0.0380999,0.00153486,0
190000,Hebius_bitaeniatum_1,Hebius_leucomystax,22.9929,0.308429,-0.0439592,0.069496,0
190000,Thamnophis_scalaris_1,Nerodia_paucimaculata,28.3355,0.349508,-0.0280435,0.0682564,0
