generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.63785,-931.696,1,0
10000,0,1.90304,-799.678,0.0917198,0.440667
20000,2,0.551894,-786.797,1.80714,0.4488
30000,1,2.99954,-785.914,0.576297,0.485
40000,1,1.7288,-789.158,0.276778,0.4584
50000,2,1.27313,-777.912,1.46111,0.468333
60000,3,2.29405,-784.691,1.02798,0.49
70000,2,2.51152,-773.109,0.490621,0.468
80000,4,-9.42184,-771.686,3.25905,0.438
90000,5,-2.14554,-769.039,6.86438,0.462
100000,2,2.33315,-775.778,1.03736,0.49
110000,2,4.5357,-778.775,0.989019,0.476
120000,3,4.7343,-773.546,1.90429,0.4675
130000,2,-0.595045,-770.152,1.44732,0.445667
140000,3,1.28057,-767.794,3.10804,0.450333
150000,2,2.47859,-774.357,0.883227,0.453706
160000,3,0.54467,-762.986,1.77434,0.414
170000,4,-2.60473,-772.169,4.15144,0.46325
180000,2,-0.701536,-769.972,1.59964,0.455545
190000,2,3.0195,-771.145,0.875167,0.476
200000,3,1.02696,-767.124,1.45986,0.44
210000,3,2.02867,-768.067,1.69828,0.487
220000,3,-6.0011,-766.035,1.83558,0.443
230000,2,0.669236,-769.023,0.998021,0.494
240000,2,-0.625475,-779.356,2.01944,0.454667
250000,1,1.3053,-788.195,0.342416,0.47
260000,3,-0.575347,-764.81,2.31725,0.444
270000,4,6.77488,-776.49,2.25808,0.492
280000,1,-1.9284,-785.127,0.636288,0.466733
290000,1,1.63883,-785.992,0.249799,0.4615
300000,2,2.59676,-774.315,0.525617,0.468143
310000,2,2.09386,-770.348,1.03736,0.495
320000,4,2.64251,-766.327,4.21769,0.493
330000,4,6.52438,-771.895,1.05702,0.439111
340000,3,2.15128,-771.518,1.66455,0.4344
350000,5,0.0907788,-767.061,2.94817,0.497
360000,3,3.42538,-765.206,0.812207,0.478
370000,4,-0.16274,-767.532,2.42689,0.4876
380000,3,2.08782,-764.765,0.581748,0.463
390000,2,3.56665,-772.391,0.915694,0.419
400000,3,1.84197,-766.556,1.7711,0.494
410000,2,1.94743,-769.353,1.21438,0.433
420000,3,4.61936,-766.616,0.545084,0.486
430000,6,4.27734,-767.905,1.38136,0.495
440000,2,4.80246,-777.9,0.941335,0.458
450000,2,0.777727,-769.784,2.18842,0.46
460000,4,0.0751843,-765.771,3.64232,0.4145
470000,3,-1.31325,-762.231,2.84402,0.459
480000,3,-0.976709,-768.483,1.76804,0.439
490000,2,0.592315,-776.496,0.6646,0.460571
500000,3,0.093215,-775.364,1.95108,0.465333
510000,5,8.24951,-771.31,3.16172,0.497
520000,2,-3.37315,-771.187,1.06042,0.479
530000,2,5.08894,-774.915,0.586116,0.477692
540000,3,0.572031,-767.946,2.47214,0.465
550000,2,0.344058,-773.598,1.04527,0.482
560000,3,4.74807,-768.354,1.36415,0.481143
570000,2,0.0784504,-777.758,1.14634,0.454
580000,2,2.1207,-770.68,1.23476,0.432
590000,3,2.39925,-772.597,1.21356,0.439
600000,4,2.36629,-767.941,3.29296,0.484
610000,2,0.775722,-771.186,2.10279,0.485333
620000,2,2.85841,-774.115,1.72941,0.4195
630000,2,1.07419,-769.045,1.92391,0.44
640000,3,4.03031,-774.133,2.04776,0.471375
650000,2,-1.18462,-774.954,3.92642,0.462545
660000,3,-1.07941,-764.496,2.55415,0.483
670000,3,-0.898856,-767.062,3.31905,0.460667
680000,4,3.16099,-776.867,2.5128,0.457182
690000,4,2.88493,-771.259,2.25401,0.457364
700000,3,-3.98052,-770.277,2.93528,0.451167
710000,4,1.87975,-764.992,2.49135,0.475
720000,2,1.00567,-775.937,0.243041,0.466286
730000,4,4.40062,-780.851,2.32237,0.487
740000,2,-3.27701,-770.951,2.94596,0.453
750000,2,-0.494346,-773.718,1.58661,0.413
760000,3,3.78354,-773.809,0.695558,0.475
770000,6,0.458356,-769.406,2.30803,0.467778
780000,3,1.45419,-767.726,0.58715,0.46
790000,2,2.14542,-768.134,1.2032,0.457
800000,2,0.737403,-780.804,1.64339,0.434667
810000,2,-1.23391,-765.048,1.46028,0.448
820000,5,-2.35163,-771.43,2.73816,0.436
830000,4,-1.4438,-763.091,2.14346,0.441
840000,3,2.23653,-772.843,1.92051,0.462
850000,4,-0.392332,-769.088,4.77649,0.466
860000,2,2.81076,-771.184,1.39272,0.479
870000,1,2.99921,-787.01,0.362628,0.453
880000,5,1.73185,-767.691,3.50811,0.453
