no,Species,Genera,Habit,Origin,OriginLTT,OriginLTT2,Diet,Reproduction,,,,
1,Afronatrix_anoscopus_1,Afronatrix,Aquatic,African,African,African,aquatic generalist,Oviparous,,,,
2,Afronatrix_anoscopus_2,Afronatrix,Aquatic,African,African,African,aquatic generalist,Oviparous,,,,
3,Afronatrix_anoscopus_3,Afronatrix,Aquatic,African,African,African,aquatic generalist,Oviparous,,,,
4,Helophis_schoutedeni,Helophis,Aquatic,African,African,African,NA,NA,,,,
5,Hydraethiops_melanogaster,Hydraethiops,Aquatic,African,African,African,aquatic generalist,Oviparous,,,,
6,Limnophis_bangweolicus,Limnophis,Aquatic,African,African,African,fish,NA,,,,
7,Limnophis_bicolor,Limnophis,Aquatic,African,African,African,fish,Oviparous,,,,
8,Limnophis_cf_bangweolicus,Limnophis,Aquatic,African,African,African,fish,Oviparous,,,,
9,Lycognathophis_seychellensis,Lycognathophis,Terrestrial,African,African,African,lizards,Oviparous,,,,
10,Natriciteres_fuliginoides,Natriciteres,Semiaquatic,African,African,African,anurans,Oviparous,,,,
11,Natriciteres_olivacea_1,Natriciteres,Semiaquatic,African,African,African,generalist,Oviparous,,,,
12,Natriciteres_olivacea_2,Natriciteres,Semiaquatic,African,African,African,generalist,Oviparous,,,,
13,Natriciteres_sylvatica_1,Natriciteres,Semiaquatic,African,African,African,generalist,Oviparous,,,,
14,Natriciteres_sylvatica_2,Natriciteres,Semiaquatic,African,African,African,generalist,Oviparous,,,,
15,Natriciteres_sylvatica_3,Natriciteres,Semiaquatic,African,African,African,generalist,Oviparous,,,,
16,Adelophis_foxi,Adelophis,Burrowing,American,American,American,annelids,Viviparous,,,,
17,Clonophis_kirtlandii,Clonophis,Semiaquatic,American,American,American,generalist,Viviparous,,,,
18,Haldea_striatula,Haldea,Burrowing,American,American,American,annelids,Viviparous,,,,
19,Liodytes_alleni,Liodytes,Aquatic,American,American,American,crayfish,Viviparous,,,,
20,Liodytes_pygaea,Liodytes,Aquatic,American,American,American,aquatic generalist,Viviparous,,,,
21,Liodytes_rigida,Liodytes,Aquatic,American,American,American,crayfish,Viviparous,,,,
22,Nerodia_clarkii,Nerodia,Aquatic,American,American,American,aquatic generalist,Viviparous,,,,
23,Nerodia_cyclopion,Nerodia,Aquatic,American,American,American,aquatic generalist,Viviparous,,,,
24,Nerodia_erythrogaster,Nerodia,Aquatic,American,American,American,aquatic generalist,Viviparous,,,,
25,Nerodia_fasciata,Nerodia,Aquatic,American,American,American,aquatic generalist,Viviparous,,,,
26,Nerodia_floridana,Nerodia,Aquatic,American,American,American,aquatic generalist,Viviparous,,,,
27,Nerodia_harteri,Nerodia,Aquatic,American,American,American,aquatic generalist,Viviparous,,,,
28,Nerodia_paucimaculata,Nerodia,Aquatic,American,American,American,aquatic generalist,Viviparous,,,,
29,Nerodia_rhombifer,Nerodia,Aquatic,American,American,American,aquatic generalist,Viviparous,,,,
30,Nerodia_sipedon,Nerodia,Aquatic,American,American,American,aquatic generalist,Viviparous,,,,
31,Nerodia_taxispilota,Nerodia,Aquatic,American,American,American,aquatic generalist,Viviparous,,,,
32,Regina_grahami,Regina,Aquatic,American,American,American,crayfish,Viviparous,,,,
33,Regina_septemvittata,Regina,Aquatic,American,American,American,crayfish,Viviparous,,,,
34,Storeria_dekayi,Storeria,Burrowing,American,American,American,mollusc,Viviparous,,,,
35,Storeria_occipitomaculata,Storeria,Burrowing,American,American,American,mollusc,Viviparous,,,,
36,Storeria_storerioides,Storeria,Burrowing,American,American,American,mollusc,Viviparous,,,,
37,Thamnophis_atratus,Thamnophis,Semiaquatic,American,American,American,aquatic generalist,Viviparous,,,,
38,Thamnophis_bogerti,Thamnophis,Semiaquatic,American,American,American,generalist,Viviparous,,,,
39,Thamnophis_brachystoma,Thamnophis,Terrestrial,American,American,American,annelids,Viviparous,,,,
40,Thamnophis_butleri,Thamnophis,Semiaquatic,American,American,American,generalist,Viviparous,,,,
41,Thamnophis_chrysocephalus,Thamnophis,Semiaquatic,American,American,American,NA,Viviparous,,,,
42,Thamnophis_conanti,Thamnophis,Semiaquatic,American,American,American,NA,Viviparous,,,,
43,Thamnophis_couchii,Thamnophis,Aquatic,American,American,American,fish,Viviparous,,,,
44,Thamnophis_cyrtopsis,Thamnophis,Semiaquatic,American,American,American,generalist,Viviparous,,,,
45,Thamnophis_elegans,Thamnophis,Semiaquatic,American,American,American,generalist,Viviparous,,,,
46,Thamnophis_eques,Thamnophis,Semiaquatic,American,American,American,generalist,Viviparous,,,,
47,Thamnophis_errans,Thamnophis,Terrestrial,American,American,American,NA,Viviparous,,,,
48,Thamnophis_exsul,Thamnophis,Terrestrial,American,American,American,NA,Viviparous,,,,
49,Thamnophis_exsul,Thamnophis,Terrestrial,American,American,American,NA,Viviparous,,,,
50,Thamnophis_fulvus,Thamnophis,Semiaquatic,American,American,American,anurans,Viviparous,,,,
51,Thamnophis_gigas,Thamnophis,Aquatic,American,American,American,generalist,Viviparous,,,,
52,Thamnophis_godmani,Thamnophis,Semiaquatic,American,American,American,NA,Viviparous,,,,
53,Thamnophis_hammondii,Thamnophis,Semiaquatic,American,American,American,aquatic generalist,Viviparous,,,,
54,Thamnophis_lineri,Thamnophis,Semiaquatic,American,American,American,NA,Viviparous,,,,
55,Thamnophis_marcianus,Thamnophis,Semiaquatic,American,American,American,generalist,Viviparous,,,,
56,Thamnophis_melanogaster,Thamnophis,Semiaquatic,American,American,American,generalist,Viviparous,,,,
57,Thamnophis_mendax,Thamnophis,Terrestrial,American,American,American,generalist,Viviparous,,,,
58,Thamnophis_nigronuchalis,Thamnophis,Semiaquatic,American,American,American,generalist,Viviparous,,,,
59,Thamnophis_ordinoides,Thamnophis,Terrestrial,American,American,American,generalist,Viviparous,,,,
60,Thamnophis_proximus,Thamnophis,Semiaquatic,American,American,American,generalist,Viviparous,,,,
61,Thamnophis_pulchrilatus,Thamnophis,Semiaquatic,American,American,American,generalist,Viviparous,,,,
62,Thamnophis_radix,Thamnophis,Aquatic,American,American,American,generalist,Viviparous,,,,
63,Thamnophis_rufipunctatus,Thamnophis,Aquatic,American,American,American,aquatic generalist,Viviparous,,,,
64,Thamnophis_sauritus,Thamnophis,Semiaquatic,American,American,American,generalist,Viviparous,,,,
65,Thamnophis_scalaris_1,Thamnophis,Terrestrial,American,American,American,generalist,Viviparous,,,,
66,Thamnophis_scalaris_2,Thamnophis,Terrestrial,American,American,American,generalist,Viviparous,,,,
67,Thamnophis_scaliger_1,Thamnophis,Terrestrial,American,American,American,generalist,Viviparous,,,,
68,Thamnophis_scaliger_2,Thamnophis,Terrestrial,American,American,American,generalist,Viviparous,,,,
69,Thamnophis_sirtalis,Thamnophis,Semiaquatic,American,American,American,generalist,Viviparous,,,,
70,Thamnophis_sumichrasti,Thamnophis,Aquatic,American,American,American,generalist,Viviparous,,,,
